SAMPLE_ID	CELL_TYPE	APPLICATION	RESTRICTION_ENZYME	SEQUENCING_CORE	ILLUMINA_MACHINE	EXPERIMENT_ID	N_FILTERED_READS	SOURCE	SET
dc3a1e069_51720e9cf	T47D	INHIC	DpnII	CRG	HiSeq	1	88.497986	NA	breast,K562,T47D
dc3a1e069_ec92aa0bb	T47D	INHIC	DpnII	CRG	HiSeq	1	57.639786	NA	K562,T47D
HIC001	GM12878	tethered HIC	MboI	Baylor	HiSeq 2000	1	169.692167	SRR1658570	GM
HindIII_T0	T47D	dilution HIC	HindIII	CRG	Unknown	0	37.928454	SRR1054341	T47D
NcoI_T0	T47D	dilution HIC	NcoI	CRG	Unknown	0	123.861494	SRR1054343	T47D
HIC002	GM12878	tethered HIC	MboI	Baylor	HiSeq 2000	1	259.999765	SRR1658571	GM
HIC003	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	433.753355	SRR1658572	GM
HIC004	GM12878	INHIC	MboI	Baylor	HiSeq 2500	1	149.478945	SRR1658573	GM
HIC006	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	140.921111	SRR1658577	GM
HIC007	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	163.081102	SRR1658578	GM
HIC008	GM12878	INHIC	MboI	Baylor	HiSeq 2500	1	186.843082	SRR1658579	GM
HIC009	GM12878	INHIC	MboI	Baylor	HiSeq 2500	1	107.808029	SRR1658580	GM
HIC010	GM12878	INHIC	MboI	Baylor	HiSeq 2500	1	52.786081	SRR1658581	GM
HIC011	GM12878	INHIC	MboI	Baylor	HiSeq 2500	1	52.378581	SRR1658582	GM
HIC012	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	124.157397	SRR1658583	GM
HIC013	GM12878	INHIC	MboI	Baylor	HiSeq 2500	1	63.476664	SRR1658584	GM
HIC014	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	228.148521	SRR165858{5,6}	GM
HIC015	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	104.325073	SRR1658587	GM
HIC016	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	103.573352	SRR1658588	GM
HIC017	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	163.667044	SRR1658589	GM
HIC005	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	279.64115	SRR165857{4-6}	GM
HIC018	GM12878	INHIC	MboI	Baylor	HiSeq 2000	1	132.730958	SRR1658590	GM
b7fa2d8db_bfac48760	B-cell	INHIC	DpnII	CRG	HiSeq	1	240.517813	 GSE96611	mm10
fc3e8b36a_7bf1bf374	ES-cell	INHIC	DpnII	CRG	HiSeq	7	267.818953	GSE96611	mm10
b7fa2d8db_7284b867a	B-cell	INHIC	DpnII	CRG	HiSeq	1	275.498285	GSE96611	mm10
fc3e8b36a_38bfd1b33	ES-cell	INHIC	DpnII	CRG	HiSeq	7	275.681103	GSE96611	mm10
b7fa2d8db_58e812fc2	B-cell	INHIC	DpnII	CRG	HiSeq	1	285.076869	GSE96611	mm10
fc3e8b36a_c990a254e	ES-cell	INHIC	DpnII	CRG	HiSeq	7	277.432561	GSE96611	mm10
b7fa2d8db_73f11d923	B-cell	INHIC	DpnII	CRG	HiSeq	1	261.716378	GSE96611	mm10
fc3e8b36a_4bf044f18	ES-cell	INHIC	DpnII	CRG	HiSeq	7	294.753123	GSE96611	mm10
66950b082_b362a771d	MCF-7	INHIC	DpnII	CNAG	HiSeq	2	166.607495	NA	breast
c133e90d3_9771f1207	K562	INHIC	HindIII	4DGU	NextSeq	1	44.940719	NA	K562
c133e90d3_ebf44c9da	K562	INHIC	MboI	4DGU	NextSeq	1	30.272448	NA	K562
HIC020	GM12878	INHIC	MboI	Baylor	HiSeq 2000	3	86.835667	SRR1658592	GM
HIC021	GM12878	INHIC	MboI	Baylor	HiSeq 2000	4	98.812085	SRR1658593	GM
HIC022	GM12878	INHIC	MboI	Baylor	HiSeq 2000	5	280.594611	SRR165859{4,5}	GM
HIC023	GM12878	INHIC	MboI	Baylor	HiSeq 2000	5	271.094944	SRR165859{6,7}	GM
HIC024	GM12878	INHIC	MboI	Baylor	HiSeq 2000	6	94.65781	SRR1658598	GM
HIC025	GM12878	INHIC	MboI	Baylor	HiSeq 2000	7	98.372168	SRR1658599	GM
HIC026	GM12878	INHIC	MboI	Baylor	HiSeq 2000	7	96.897434	SRR1658600	GM
HIC027	GM12878	INHIC	MboI	Baylor	HiSeq 2000	8	99.927842	SRR1658601	GM
HIC028	GM12878	INHIC	MboI	Baylor	HiSeq 2500	9	64.941957	SRR1658602	GM
HIC029	GM12878	INHIC	MboI	Baylor	HiSeq 2500	9	146.27749	SRR1658603	GM
HIC036	GM12878	dilution HIC	NcoI	Baylor	HiSeq 2000	12	421.237976	SRR165863{2-5}	GM
HIC038	GM12878	INHIC	DpnII	Baylor	HiSeq 2500	33	75.298452	SRR1658644	GM
HIC039	GM12878	INHIC	DpnII	Baylor	HiSeq 2500	33	70.246064	SRR1658645	GM
HIC040	GM12878	INHIC	DpnII	Baylor	HiSeq 2500	32	91.8228	SRR1658646	GM
HIC041	GM12878	INHIC	DpnII	Baylor	HiSeq 2500	32	72.835928	SRR1658647	GM
HIC042	GM12878	INHIC	DpnII	Baylor	HiSeq 2500	33	116.5613	SRR1658648	GM
HIC048	GM12878	INHIC	MboI	Baylor	HiSeq 2500	13	96.983813	SRR1658670	GM
HIC049	GM12878	INHIC	MboI	Baylor	HiSeq 2500	14	102.77014	SRR1658671	GM
HIC069	K562	INHIC	MboI	Baylor	HiSeq 2500	1	348.869517	SRR1658693	K562,T47D
HIC070	K562	INHIC	MboI	Baylor	HiSeq 2500	1	466.235655	SRR1658694	K562,T47D
HIC071	K562	INHIC	MboI	Baylor	HiSeq 2500	2	79.767513	SRR165869{5,6}	K562
HIC072	K562	INHIC	MboI	Baylor	HiSeq 2500	2	61.826383	SRR165869{7,8}	K562
HIC073	K562	INHIC	MboI	Baylor	HiSeq 2500	2	60.306954	SRR1658{699,700}	K562
HIC074	K562	INHIC	MboI	Baylor	HiSeq 2500	2	78.806244	SRR165870{1,2}	K562
HIC106	GM12878	dilution HIC	HindIII	Baylor	MiSeq	12	3.38504	SRR1658734	GM
HIC110	GM12878	dilution HIC	NcoI	Baylor	MiSeq	16	1.743577	SRR1658738	GM
HIC115	GM12878	dilution HIC	NcoI	Baylor	MiSeq	17	0.676695	SRR1658743	GM
HIC119	GM12878	dilution HIC	NcoI	Baylor	MiSeq	15	1.505559	SRR1658747	GM
HIC120	GM12878	dilution HIC	MspI	Baylor	MiSeq	17	2.214619	SRR1658748	GM
HIC122	GM12878	dilution HIC	NcoI	Baylor	MiSeq	18	1.638789	SRR1658750	GM
HIC123	GM12878	INHIC	NcoI	Baylor	MiSeq	1	3.59589	SRR1658751	GM
HIC124	GM12878	INHIC	NcoI	Baylor	MiSeq	1	32.019753	SRR1658752	GM
HIC128	GM12878	INHIC	NcoI	Baylor	MiSeq	1	5.657587	SRR1658756	GM
HIC129	GM12878	INHIC	NcoI	Baylor	MiSeq	1	6.341118	SRR1658757	GM
HIC133	GM12878	dilution HIC	MspI	Baylor	MiSeq	19	0.591446	SRR1658761	GM
HIC134	GM12878	dilution HIC	NcoI	Baylor	MiSeq	1	0.573479	SRR1658762	GM
HIC149	GM12878	INHIC	NcoI	Baylor	MiSeq	1	1.706339	SRR1658777	GM
HIC161	GM12878	INHIC	MboI	Baylor	MiSeq	1	0.859606	SRR1658789	GM
