wrap	est	ll	ul	metric	set
diff cell diff prot	0.392011952339182	0.360285569224752	0.423738335453611	pear	K562
same cell diff prot	0.416698402513133	0.386526402426962	0.446870402599305	pear	K562
same cell same prot	0.659809951542478	0.64241870192075	0.677201201164205	pear	K562
diff cell diff prot	0.751051669381968	0.741031866356622	0.761071472407315	spea	K562
same cell diff prot	0.745184511444458	0.732583388341369	0.757785634547548	spea	K562
same cell same prot	0.855348736543663	0.846691742517504	0.864005730569821	spea	K562
diff cell diff prot	0.41922231968208	0.38937238073072	0.44907225863344	scc	K562
same cell diff prot	0.41785865978487	0.393160438767118	0.442556880802621	scc	K562
same cell same prot	0.69302926058782	0.677558020706701	0.708500500468939	scc	K562
diff cell diff prot	0.224746642272753	0.208357684593269	0.241135599952237	repro	K562
same cell diff prot	0.280277979091461	0.249105219098465	0.311450739084457	repro	K562
same cell same prot	0.482331183164727	0.453540940861284	0.51112142546817	repro	K562
diff cell diff prot	0.383313457009515	0.367396979789271	0.399229934229759	pear	mm10
diff cell same prot	0.52601683608068	0.508876024191242	0.543157647970118	pear	mm10
same cell diff prot	0.508245803796057	0.493052016077952	0.523439591514162	pear	mm10
same cell same prot	0.814209120880311	0.796005058121109	0.832413183639513	pear	mm10
diff cell diff prot	0.754731212561647	0.7428436756523	0.766618749470994	spea	mm10
diff cell same prot	0.828664502972962	0.818612301246729	0.838716704699195	spea	mm10
same cell diff prot	0.807706202631927	0.796831529603111	0.818580875660744	spea	mm10
same cell same prot	0.921699546570811	0.910684212210433	0.932714880931189	spea	mm10
diff cell diff prot	0.390672613552258	0.375788822370277	0.405556404734239	scc	mm10
diff cell same prot	0.540346049035915	0.524550226325694	0.556141871746137	scc	mm10
same cell diff prot	0.521070514955656	0.507374966121482	0.534766063789831	scc	mm10
same cell same prot	0.828921394439213	0.812449079904643	0.845393708973782	scc	mm10
diff cell diff prot	0.199471891612886	0.180426827054138	0.218516956171634	repro	mm10
diff cell same prot	0.219452183655399	0.198137433006837	0.240766934303962	repro	mm10
same cell diff prot	0.341371732820396	0.319609069283038	0.363134396357755	repro	mm10
same cell same prot	0.780809818415884	0.754626600190836	0.806993036640931	repro	mm10
diff cell diff prot	0.321393467451297	0.285996947387285	0.356789987515309	pear	T47D
same cell diff prot	0.432145420383627	0.398774489561233	0.465516351206021	pear	T47D
same cell same prot	0.672287764736182	0.625597686834954	0.71897784263741	pear	T47D
diff cell diff prot	0.716867001327735	0.698528246116515	0.735205756538954	spea	T47D
same cell diff prot	0.721341885855323	0.704775714861299	0.737908056849347	spea	T47D
same cell same prot	0.824052620784337	0.801915355220096	0.846189886348578	spea	T47D
diff cell diff prot	0.326538285142121	0.294428964856367	0.358647605427874	scc	T47D
same cell diff prot	0.44202210945354	0.411333951019433	0.472710267887647	scc	T47D
same cell same prot	0.706549092827086	0.665425465868699	0.747672719785474	scc	T47D
diff cell diff prot	0.1900492668738	0.173022545544235	0.207075988203365	repro	T47D
same cell diff prot	0.269609656024668	0.250264254029924	0.288955058019411	repro	T47D
same cell same prot	0.548931813305712	0.508421381271555	0.589442245339868	repro	T47D
