SAMPLE_ID	CELL_TYPE	APPLICATION	RESTRICTION_ENZYME	SEQUENCING_CORE	SET	SOURCE
dc3a1e069_51720e9cf	T47D	in-situ HiC	DpnII	CRG	T47D, K562	NA
b1913e6c1_51720e9cf	T47D	in-situ HiC	DpnII	CRG	T47D	NA
dc3a1e069_ec92aa0bb	T47D	in-situ HiC	DpnII	CRG	T47D, K562	NA
HindIII_T0	T47D	dilution HiC	HindIII	CRG	T47D	SRR1054341
NcoI_T0	T47D	dilution HiC	NcoI	CRG	T47D	SRR1054343
ENCLB758KFU	T47D	dilution HiC	HindIII	UMass	T47D	ENCLB758KFU
ENCLB183QHG	T47D	dilution HiC	HindIII	UMass	T47D	ENCLB183QHG
HIC069	K562	in-situ HiC	MboI	Baylor	T47D, K562	SRR1658693
HIC070	K562	in-situ HiC	MboI	Baylor	T47D, K562	SRR1658694
HIC071	K562	in-situ HiC	MboI	Baylor	K562	SRR1658696SRR1658695
HIC074	K562	in-situ HiC	MboI	Baylor	K562	SRR1658701SRR1658702
b7fa2d8db_bfac48760	B-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
fc3e8b36a_7bf1bf374	ES-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
b7fa2d8db_7284b867a	B-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
fc3e8b36a_38bfd1b33	ES-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
b7fa2d8db_58e812fc2	B-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
fc3e8b36a_c990a254e	ES-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
b7fa2d8db_73f11d923	B-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
fc3e8b36a_4bf044f18	ES-cell	in-situ HiC	DpnII	CRG	mm10	GSE96611
GSM987817	B-cell	dilution HiC	HindIII	UCSC	mm10	SRR543428/SRR543429/SRR543430/SRR543431
GSM987818	B-cell	dilution HiC	HindIII	UCSC	mm10	SRR543432/SRR543433/SRR543434/SRR543435/SRR543436/SRR543437/SRR543438/SRR543439/SRR543440/SRR543441/SRR543442
GSM862720	ES-cell	dilution HiC	HindIII	UCSC	mm10	SRR443883/SRR443884/SRR443885
GSM862721	ES-cell	dilution HiC	HindIII	UCSC	mm10	SRR400251/SRR400252/SRR400253/SRR400254/SRR400255/SRR400256
GSM862722	ES-cell	dilution HiC	NcoI	UCSC	mm10	SRR443886/SRR443887/SRR443888
